
running 272 tests
{"timestamp":"2026-01-05T18:26:10.298433Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DEMO_MODE","config_key":"demo.mode"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298435Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SERVER_HOST","config_key":"server.host"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298437Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SERVER_PORT","config_key":"server.port"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298439Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_UI_PORT","config_key":"ui.port"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298440Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_PANEL_PORT","config_key":"panel.port"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298442Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_LOG_LEVEL","config_key":"log.level"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298444Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DATABASE_TIMEOUT","config_key":"database.timeout"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298446Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_WORKER_SHUTDOWN_TIMEOUT","config_key":"worker.shutdown.timeout"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298448Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DOWNLOAD_TIMEOUT_SECS","config_key":"download.timeout.secs"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298450Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SECURITY_JWT_SECRET","config_key":"security.jwt.secret"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298451Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SECURITY_JWT_MODE","config_key":"security.jwt.mode"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298453Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MODEL_CACHE_DIR","config_key":"model.cache.dir"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298456Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_BASE_MODEL_ID","config_key":"base_model.id"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298457Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MODEL_PATH","config_key":"model.path"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298459Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MLX_PATH","config_key":"mlx.path"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298461Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MODEL_CACHE_MAX_MB","config_key":"model.cache.max.mb"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298463Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MANIFEST_PATH","config_key":"manifest.path"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298464Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_WORKER_MANIFEST","config_key":"worker.manifest"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298466Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DEV_JWT_SECRET","config_key":"dev.jwt.secret"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298468Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DATABASE_URL","config_key":"database.url"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298499Z","level":"WARN","fields":{"message":"Using legacy ADAPTEROS_ variable; please migrate to AOS_*","deprecated_var":"ADAPTEROS_ENV","replacement":"AOS_ENV"},"filename":"crates/adapteros-config/src/loader.rs","line_number":278,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298508Z","level":"DEBUG","fields":{"message":"Loaded 24 environment variables"},"filename":"crates/adapteros-config/src/loader.rs","line_number":291,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298524Z","level":"DEBUG","fields":{"message":"Loaded 0 CLI arguments"},"filename":"crates/adapteros-config/src/loader.rs","line_number":328,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298572Z","level":"INFO","fields":{"message":"Configuration frozen with hash: ab1aa4ea279e28945b2348899a85e406f93c9ae8a96988595ace3f98b00abb1c"},"filename":"crates/adapteros-config/src/precedence.rs","line_number":50,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298575Z","level":"INFO","fields":{"message":"Configuration loaded and frozen: ab1aa4ea279e28945b2348899a85e406f93c9ae8a96988595ace3f98b00abb1c"},"filename":"crates/adapteros-config/src/loader.rs","line_number":58,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
test commands::config::tests::test_perform_validation_good_env ... ok
{"timestamp":"2026-01-05T18:26:10.300178Z","level":"WARN","fields":{"message":"Skipping migration signature verification (env override; local debugging only)"},"filename":"crates/adapteros-db/src/lib.rs","line_number":1028,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:10.307841Z","level":"INFO","fields":{"message":"Applying database migrations..."},"filename":"crates/adapteros-db/src/lib.rs","line_number":1049,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.437984Z","level":"INFO","fields":{"message":"Database at migration version 275 (diagnostics indexes) - expected version 275"},"filename":"crates/adapteros-db/src/lib.rs","line_number":1218,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.437993Z","level":"INFO","fields":{"message":"✓ Schema version verified: 275"},"filename":"crates/adapteros-db/src/lib.rs","line_number":1256,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.438439Z","level":"INFO","fields":{"message":"Initialized tenant policy bindings","tenant_id":"019b8f68-d76e-7980-92cb-e443f6826416","created_by":"system","total_policies":24,"core_enabled":4,"mode":"sql_only"},"filename":"crates/adapteros-db/src/tenants.rs","line_number":286,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.438721Z","level":"DEBUG","fields":{"message":"Disk space check passed","path":"/Users/mln-dev/Dev/adapter-os/crates/adapteros-cli/var/tmp","required":430,"required_with_margin":474,"available":132594442240},"filename":"crates/adapteros-core/src/io_utils.rs","line_number":314,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.438725Z","level":"DEBUG","fields":{"message":"Disk space check passed for AOS archive write","path":"/Users/mln-dev/Dev/adapter-os/crates/adapteros-cli/var/tmp","estimated_size":430},"filename":"crates/adapteros-aos/src/writer.rs","line_number":280,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.445515Z","level":"INFO","fields":{"message":"AOS archive written with indexed segments","path":"/Users/mln-dev/Dev/adapter-os/crates/adapteros-cli/var/tmp/.tmp0NFupf","total_size":430,"segments":1,"index_size":80,"manifest_size":146},"filename":"crates/adapteros-aos/src/writer.rs","line_number":377,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.445766Z","level":"WARN","fields":{"message":"Manifest missing base_model; accepting as legacy bundle","adapter_id":"valid-adapter","tenant_id":"019b8f68-d76e-7980-92cb-e443f6826416"},"filename":"crates/adapteros-cli/src/commands/register_adapter.rs","line_number":204,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
{"timestamp":"2026-01-05T18:26:11.445856Z","level":"INFO","fields":{"message":"Loaded AOS format adapter from: /Users/mln-dev/Dev/adapter-os/crates/adapteros-cli/var/tmp/.tmpaG5N0a/valid.aos (adapter_id=valid-adapter, signed: false)"},"filename":"crates/adapteros-single-file-adapter/src/loader.rs","line_number":385,"threadName":"commands::register_adapter::tests::aos_magic_bundle_is_accepted","threadId":"ThreadId(150)"}
test commands::register_adapter::tests::aos_magic_bundle_is_accepted ... FAILED
test commands::train_docs::tests::default_output_falls_back_to_var ... ok
test commands::train_docs::tests::default_output_respects_env ... ok

failures:

---- commands::auth_cli::tests::login_stores_and_preloads_env_without_leaking_token stdout ----
✓ Login succeeded; token stored for CLI use
  User: user-xyz
  Tenant: tenant-xyz
  Role: admin
ℹ️  Tip: tokens from auth store are used when --token is omitted.

thread 'commands::auth_cli::tests::login_stores_and_preloads_env_without_leaking_token' (2829225) panicked at crates/adapteros-cli/src/commands/auth_cli.rs:209:9:
assertion `left == right` failed
  left: "http://127.0.0.1:56366"
 right: "http://127.0.0.1:56364"
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace

---- commands::register_adapter::tests::aos_magic_bundle_is_accepted stdout ----

thread 'commands::register_adapter::tests::aos_magic_bundle_is_accepted' (2829318) panicked at crates/adapteros-cli/src/commands/register_adapter.rs:476:14:
AOS magic should be accepted: Database error: error returned from database: (code: 1811) Tenant mismatch: adapters.base_model_id references model from different tenant


failures:
    commands::auth_cli::tests::login_stores_and_preloads_env_without_leaking_token
    commands::register_adapter::tests::aos_magic_bundle_is_accepted

test result: FAILED. 270 passed; 2 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.26s

